date,fold_id_used,fold_train_end,n_picks,picks,predicted_probas,n_trades,n_problematic_trades,total_cost_inr
2023-11-17,0,2021-12-28,10,"ADANIENT,ICICIBANK,ITC,SBIN,BAJAJ-AUTO,ASIANPAINT,HINDUNILVR,BEL,RELIANCE,HINDALCO","0.5438,0.5438,0.5438,0.5438,0.5401,0.5349,0.5349,0.5323,0.5323,0.5320",14,0,1283.3074166065203
2023-12-18,0,2021-12-28,10,"NESTLEIND,POWERGRID,TATACONSUM,BEL,HDFCBANK,ITC,RELIANCE,SBIN,SHRIRAMFIN,TATASTEEL","0.5359,0.5359,0.5359,0.5323,0.5323,0.5323,0.5323,0.5323,0.5323,0.5323",16,0,2141.8238961712746
2024-01-16,0,2021-12-28,10,"ICICIBANK,M&M,MARUTI,KOTAKBANK,HDFCBANK,TATASTEEL,WIPRO,AXISBANK,BAJAJFINSV,BPCL","0.5438,0.5359,0.5349,0.5334,0.5323,0.5323,0.5323,0.5141,0.5141,0.5120",18,0,3001.512100699675
2024-02-15,0,2021-12-28,10,"BAJFINANCE,GRASIM,JSWSTEEL,M&M,TECHM,TITAN,INFY,POWERGRID,ADANIENT,ICICIBANK","0.5438,0.5359,0.5359,0.5359,0.5359,0.5359,0.5231,0.5119,0.5117,0.5117",18,0,3080.970093777868
2024-03-15,0,2021-12-28,10,"BAJFINANCE,KOTAKBANK,NESTLEIND,ITC,TRENT,INFY,POWERGRID,ADANIENT,ICICIBANK,BRITANNIA","0.5438,0.5438,0.5359,0.5323,0.5201,0.5141,0.5119,0.5117,0.5117,0.5068",15,0,1947.159430252468
2024-04-18,0,2021-12-28,10,"ITC,ASIANPAINT,HINDALCO,KOTAKBANK,BEL,LTIM,POWERGRID,TRENT,ADANIENT,BAJFINANCE","0.5438,0.5364,0.5359,0.5334,0.5323,0.5215,0.5141,0.5141,0.5117,0.5117",14,0,1508.6236499111906
2024-05-17,0,2021-12-28,10,"ADANIENT,RELIANCE,ASIANPAINT,BAJAJFINSV,TCS,COALINDIA,ITC,ONGC,SHRIRAMFIN,LTIM","0.5438,0.5438,0.5364,0.5359,0.5349,0.5323,0.5323,0.5323,0.5323,0.5215",16,0,2365.698012357148
2024-06-18,0,2021-12-28,10,"TITAN,BAJAJFINSV,HINDALCO,BPCL,NTPC,ONGC,WIPRO,BAJFINANCE,ICICIBANK,SUNPHARMA","0.5364,0.5359,0.5359,0.5323,0.5323,0.5323,0.5323,0.5117,0.5117,0.5068",18,0,3283.5009199683886
2024-07-16,0,2021-12-28,10,"ADANIENT,BAJFINANCE,LT,KOTAKBANK,COALINDIA,HDFCBANK,ITC,SHRIRAMFIN,WIPRO,ASIANPAINT","0.5438,0.5438,0.5349,0.5334,0.5323,0.5323,0.5323,0.5323,0.5323,0.5231",18,0,3395.126211793759
2024-08-14,0,2021-12-28,10,"APOLLOHOSP,TATACONSUM,BAJFINANCE,ICICIBANK,TITAN,BPCL,HDFCBANK,ASIANPAINT,BEL,AXISBANK","0.5473,0.5473,0.5438,0.5438,0.5359,0.5323,0.5323,0.5231,0.5207,0.5141",17,0,2910.10833642411
2024-09-12,0,2021-12-28,10,"ADANIENT,NESTLEIND,KOTAKBANK,BEL,COALINDIA,TATASTEEL,WIPRO,ASIANPAINT,POWERGRID,ADANIPORTS","0.5438,0.5364,0.5334,0.5323,0.5323,0.5323,0.5323,0.5231,0.5141,0.5120",18,0,3553.092493363535
2024-10-11,0,2021-12-28,10,"BEL,ONGC,SBIN,INFY,COALINDIA,TATASTEEL,WIPRO,TATACONSUM,DRREDDY,HDFCLIFE","0.5438,0.5438,0.5438,0.5359,0.5323,0.5323,0.5323,0.5141,0.5120,0.5120",16,0,2624.3512581561336
2024-11-08,0,2021-12-28,10,"ADANIENT,NTPC,ONGC,POWERGRID,RELIANCE,BEL,SBIN,KOTAKBANK,MARUTI,BAJAJ-AUTO","0.5438,0.5438,0.5438,0.5438,0.5438,0.5323,0.5323,0.5244,0.5215,0.5207",17,0,2979.5401335144343
2024-12-10,0,2021-12-28,10,"ADANIENT,BAJFINANCE,ITC,NTPC,RELIANCE,TITAN,INFY,KOTAKBANK,POWERGRID,BEL","0.5438,0.5438,0.5438,0.5438,0.5438,0.5364,0.5359,0.5334,0.5334,0.5323",14,0,1739.1824398684319
2025-01-08,0,2021-12-28,10,"HINDALCO,NTPC,RELIANCE,LTIM,KOTAKBANK,HDFCLIFE,ITC,ONGC,INDUSINDBK,HINDUNILVR","0.5438,0.5438,0.5438,0.5364,0.5334,0.5324,0.5323,0.5323,0.5250,0.5244",16,0,2456.8268539187757
2025-02-04,0,2021-12-28,10,"ADANIENT,ICICIBANK,ITC,NTPC,POWERGRID,SBIN,NESTLEIND,TATACONSUM,KOTAKBANK,BEL","0.5438,0.5438,0.5438,0.5438,0.5438,0.5438,0.5359,0.5359,0.5334,0.5323",17,0,2865.030106604093
2025-03-05,0,2021-12-28,10,"ICICIBANK,ITC,NTPC,RELIANCE,SBIN,KOTAKBANK,TATASTEEL,HDFCLIFE,APOLLOHOSP,BRITANNIA","0.5438,0.5438,0.5438,0.5438,0.5438,0.5334,0.5323,0.5236,0.5215,0.5215",15,0,1983.4077723665978
2025-04-04,0,2021-12-28,10,"WIPRO,BEL,BPCL,COALINDIA,HDFCBANK,ITC,NTPC,ONGC,SBIN,BAJAJFINSV","0.5438,0.5323,0.5323,0.5323,0.5323,0.5323,0.5323,0.5323,0.5323,0.5299",17,0,2903.339641351537
2025-05-08,0,2021-12-28,10,"POWERGRID,KOTAKBANK,BEL,COALINDIA,ITC,ASIANPAINT,NESTLEIND,TATACONSUM,TITAN,TCS","0.5359,0.5334,0.5323,0.5323,0.5323,0.5231,0.5231,0.5231,0.5231,0.5215",17,0,2991.9943025993916
2025-06-05,0,2021-12-28,10,"KOTAKBANK,INDUSINDBK,GRASIM,BEL,ONGC,NESTLEIND,TITAN,ADANIPORTS,COALINDIA,DRREDDY","0.5438,0.5424,0.5359,0.5347,0.5323,0.5231,0.5231,0.5205,0.5205,0.5205",15,0,2201.7577204361314
