date,ticker,side,shares,effective_price,notional_inr,cost_inr,meta_fold_id,meta_slip_bps
2022-07-04,BAJFINANCE,buy,180.36667364618762,554.7033605346679,100050.0,69.17099999999999,0,5.0
2022-07-04,ICICIBANK,buy,143.16165846979376,698.8603028869628,100050.0,69.17099999999999,0,5.0
2022-07-04,SBIN,buy,223.3268766549058,447.998026473999,100050.0,69.17099999999999,0,5.0
2022-07-04,SHRIRAMFIN,buy,422.6176811227846,236.73879364013672,100050.0,69.17099999999999,0,5.0
2022-07-04,ASIANPAINT,buy,37.000432063150775,2704.022478149414,100049.99999999999,69.17099999999999,0,5.0
2022-07-04,TCS,buy,34.555375410914536,2895.352714599609,100049.99999999999,69.17099999999999,0,5.0
2022-07-04,TITAN,buy,51.624114687709714,1938.0477632446289,100050.0,69.17099999999999,0,5.0
2022-07-04,ULTRACEMCO,buy,17.914906120380998,5584.734819580078,100050.0,69.17099999999999,0,5.0
2022-07-04,EICHERMOT,buy,37.27600158095385,2684.0325076904296,100049.99999999999,69.17099999999999,0,5.0
2022-07-04,ITC,buy,403.76879627967867,247.79032189178466,100050.0,69.17099999999999,0,5.0
2022-08-01,ASIANPAINT,sell,1.6340249205826867,3218.5334829101566,5259.163918804987,8.112161686103887,0,5.0
2022-08-01,BAJFINANCE,sell,180.36667364618762,714.6467093200685,128898.4497922547,198.82344074959178,0,5.0
2022-08-01,ICICIBANK,sell,143.16165846979376,798.314754272461,114288.06420255138,176.28719505924514,0,5.0
2022-08-01,SHRIRAMFIN,sell,422.6176811227846,257.0700090942383,108642.33112962013,167.578757704699,0,5.0
2022-08-01,TITAN,sell,51.624114687709714,2352.590450317383,121450.39922039521,187.33496246330716,0,5.0
2022-08-01,ULTRACEMCO,sell,17.914906120380998,6506.169604248047,116557.41766338015,179.78763020091026,0,5.0
2022-08-01,EICHERMOT,sell,37.27600158095385,2961.3362181396487,110386.77354910945,170.26952741210357,0,5.0
2022-08-01,ITC,sell,403.76879627967867,260.7720450897217,105291.61474926703,162.41034054536513,0,5.0
2022-08-01,RELIANCE,buy,97.20562379974994,1172.173440307617,113941.85046660087,78.7753297213918,0,5.0
2022-08-01,HEROMOTOCO,buy,45.42796271704083,2508.1875490722655,113941.85046660088,78.7753297213918,0,5.0
2022-08-01,BEL,buy,1257.4917666453111,90.61041470718384,113941.85046660088,78.7753297213918,0,5.0
2022-08-01,NTPC,buy,825.281336025172,138.06425214385985,113941.85046660087,78.7753297213918,0,5.0
2022-08-01,POWERGRID,buy,828.8012171027585,137.4778995437622,113941.85046660088,78.7753297213918,0,5.0
2022-08-01,SBIN,buy,2.2753595837852276,505.05638758850097,1149.1848918514422,0.794505428828147,0,5.0
2022-08-01,NESTLEIND,buy,123.09690518291849,925.6272551879882,113941.85046660088,78.7753297213918,0,5.0
2022-08-01,HDFCLIFE,buy,210.54095085908236,541.1861683044433,113941.85046660087,78.7753297213918,0,5.0
2022-08-01,TCS,buy,3.935862818106151,2960.20226184082,11650.950016453013,8.055051110325552,0,5.0
2022-09-01,POWERGRID,sell,12.388936239558216,143.21836354064942,1774.3231742389748,2.7368602110615003,0,5.0
2022-09-01,ASIANPAINT,sell,35.366407142568086,3336.6428557128907,118005.06972448315,182.02060634810695,0,5.0
2022-09-01,TCS,sell,38.49123822902069,2807.4444525146487,108062.0132364839,166.68362824094004,0,5.0
2022-09-01,RELIANCE,sell,97.20562379974994,1168.2294358520508,113558.47105322855,175.16181131312956,0,5.0
2022-09-01,HEROMOTOCO,sell,45.42796271704083,2537.3012713623048,115264.42755734707,177.79321721804658,0,5.0
2022-09-01,BEL,sell,1257.4917666453111,102.41503731155396,128786.06619995144,198.65009116671052,0,5.0
2022-09-01,NTPC,sell,825.281336025172,144.34446341705322,119124.79161666225,183.74775636150514,0,5.0
2022-09-01,NESTLEIND,sell,123.09690518291849,947.6453250732422,116652.20672757688,179.93384055424963,0,5.0
2022-09-01,HDFCLIFE,sell,210.54095085908236,569.902772277832,119987.87157260183,185.07904100269732,0,5.0
2022-09-01,ONGC,buy,1088.9455972060139,107.48215049743652,117042.21456241768,80.91881082955514,0,5.0
2022-09-01,WIPRO,buy,610.8906476606743,191.59274251556394,117042.21456241766,80.91881082955514,0,5.0
2022-09-01,HINDALCO,buy,282.7136117225905,413.99568223571777,117042.21456241766,80.91881082955514,0,5.0
